page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
6,6,BMW,315,2007.0,1500000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-bmw-315-dakar-dakar-4141
6,7,Jeep,Patriot,2010.0,3900000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2808
6,8,Peugeot,206,2008.0,2300000,164000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-762
6,9,Mitsubishi,ASX,2011.0,6000000,94954.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-asx-dakar-dakar-1150
6,10,Citroen,C3,2008.0,1800000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1799
6,11,Mitsubishi,L200,2009.0,7800000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-876
6,12,Peugeot,307,2007.0,2400000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2086
6,13,Peugeot,308,2008.0,3300000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1147
6,14,Toyota,Corolla,2008.0,3300000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-880
6,15,BMW,X1,2010.0,3700000,150000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-bmw-x1-dakar-dakar-280
6,16,Peugeot,207,2008.0,1800000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-908
6,17,Renault,21,2002.0,2700000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-21-dakar-dakar-2157
6,18,Peugeot,307,2007.0,2100000,132000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3546
6,19,Volkswagen,Passat,2007.0,1600000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-270
6,20,Renault,Megane,2006.0,1600000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-886
7,1,Citroen,C5,2008.0,2700000,130000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4273
7,2,Kia,Carnival,2008.0,2500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-carnival-dakar-dakar-2623
7,3,Land Rover,Range Rover Sport,2009.0,16000000,160000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-2439
7,4,Peugeot,307,2008.0,3200000,128000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-734
7,5,Citroen,C3,2011.0,2800000,136000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4199
7,6,Chevrolet,Sail,2013.0,2200000,90000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-sail-dakar-dakar-2068
7,7,Renault,Scenic,2006.0,2300000,200000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1590
7,8,Toyota,Corolla,2004.0,2700000,28752.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-2190
7,9,Dacia,Sandero,2009.0,2800000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-sandero-dakar-dakar-885
7,10,Citroen,C3,2006.0,1500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1874
7,11,Citroen,C3,2007.0,2000000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-845
7,12,Ford,Fusion,2009.0,2000000,144000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-fusion-dakar-dakar-4194
7,13,Renault,Laguna,2007.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1704
7,14,Nissan,Rogue,2009.0,5500000,160000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-rogue-dakar-dakar-2440
7,15,Ford,Edge,2011.0,10000000,105000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-3222
7,16,Citroen,C4,2007.0,2100000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2040
7,17,Skoda,Octavia,2012.0,3500000,147000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2298
7,18,Citroen,Berlingo,2007.0,2000000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-4134
7,19,Citroen,Berlingo,2008.0,2300000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2295
7,20,Peugeot,207,2010.0,3200000,144410.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-851
8,1,Peugeot,307,2007.0,2300000,137000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-838
8,2,Peugeot,206,2009.0,2000000,130000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-3566
8,3,Renault,Laguna,2004.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-813
8,4,Mercedes‒Benz,250,2004.0,1900000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-250-dakar-dakar-2640
8,5,Nissan,Qashqai+2,2013.0,6500000,101000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-2-dakar-dakar-2761
8,6,Ford,Escape,2011.0,4300000,130000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-4196
8,7,Peugeot,307,2007.0,2100000,90000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-413
8,8,Hyundai,Elantra,2013.0,5800000,21000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-2468
8,9,Mitsubishi,Endeavor,2012.0,4300000,100000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-endeavor-dakar-dakar-2497
8,10,Peugeot,508,2011.0,5500000,179000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-508-dakar-dakar-2155
8,11,Citroen,C3,2006.0,1900000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-2218
8,12,Renault,Scenic,2007.0,1950000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2518
8,13,Citroen,Nemo,2009.0,2400000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-nemo-dakar-dakar-1980
8,14,Peugeot,407,2006.0,2300000,291000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-2304
8,15,Nissan,Versa,2010.0,2500000,120000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-versa-dakar-dakar-2119
8,16,Renault,Scenic,2005.0,1500000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1795
8,17,Renault,Megane,2006.0,1800000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-2201
8,18,Peugeot,407,2007.0,2600000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-1580
8,19,Mercedes‒Benz,190,2000.0,2400000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-2436
8,20,Renault,Kangoo,2012.0,4500000,264127.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-kangoo-dakar-dakar-1871
9,1,Hyundai,Accent,2007.0,1700000,,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-accent-dakar-dakar-890
9,2,Dacia,Logan,2008.0,3000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-1602
9,3,Renault,Laguna,2007.0,1400000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1325
9,4,Peugeot,3008,2011.0,6500000,,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-3008-dakar-dakar-1121
9,5,Peugeot,307,2008.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1148
9,6,Citroen,C3,2008.0,2000000,200000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1893
